url,nivel,status_code,tipo_conteudo,status_code_http,tipo_conteudo_http,title,description,canonical,h1,h2,h3,h4,h5,h6,problemas,headings_vazios_count,headings_ocultos_count,headings_problematicos,tem_headings_vazios,tem_headings_ocultos,tem_css_global,h1_texts,h2_texts,h1_ausente,h2_ausente,crawler_method,crawler_version,analise_timestamp
https://gndisul.com.br/,0,200.0,text/html; charset=utf-8,200.0,text/html; charset=utf-8,Cuide da sua Saúde com a Hapvida Clinipam | Hapvida Clinipam,"Oferecemos uma ampla gama de serviços médicos. Contamos com uma rede de clínicas e hospitais em todo o país, receba atendimento de qualidade onde estiver.",,0,6,27,2,4,3,H1 ausente,0,0,[],False,False,True,[],"['Guia Médico', 'Blog', 'Planos de Saúde', 'Exames', 'Bem-vindo', 'Destaques']",True,False,REQUESTS,pipeline_lean_v1.0,2025-06-13 21:27:31
https://gndisul.com.br/area-prestador,1,200.0,text/html; charset=utf-8,200.0,text/html; charset=utf-8,Área do Prestador | Clinipam | Hapvida Clinipam,Área do Prestador | Clinipam,,1,0,18,2,4,3,H2 ausente,0,0,[],False,False,True,['Área do Prestador'],[],False,True,REQUESTS,pipeline_lean_v1.0,2025-06-13 21:27:31
https://gndisul.com.br/area-beneficiario,1,200.0,text/html; charset=utf-8,200.0,text/html; charset=utf-8,Área do Beneficiário: Saiba Mais | Hapvida Clinipam,"Na Área do Beneficiário da Clinipam você acessa informações de boleto, histórico de consultas e muitos outros dados! Confira agora os serviços disponíveis!",,1,0,28,2,4,3,H2 ausente,0,0,[],False,False,True,['Área do Beneficiário'],[],False,True,REQUESTS,pipeline_lean_v1.0,2025-06-13 21:27:31
https://gndisul.com.br/area-empresa,1,200.0,text/html; charset=utf-8,200.0,text/html; charset=utf-8,Área da Empresa: Informações e Serviços | Hapvida Clinipam,"Tenha acesso as informações e serviços disponíveis na Área da Empresa, uma maneira de te ajudar a ter praticidade com os processos do dia a dia. Confira!",,1,0,21,2,4,3,H2 ausente,0,0,[],False,False,True,['Área da Empresa'],[],False,True,REQUESTS,pipeline_lean_v1.0,2025-06-13 21:27:31
https://gndisul.com.br/area-corretor,1,200.0,text/html; charset=utf-8,200.0,text/html; charset=utf-8,Área do Corretor | Clinipam | Hapvida Clinipam,Área do Corretor | Clinipam,,1,0,17,2,4,3,H2 ausente,0,0,[],False,False,True,['Área do Corretor'],[],False,True,REQUESTS,pipeline_lean_v1.0,2025-06-13 21:27:31
https://gndisul.com.br/planos-de-saude,1,200.0,text/html; charset=utf-8,200.0,text/html; charset=utf-8,Faça Seu Orçamento Já | Clinipam - GNDI SUL | Hapvida Clinipam,Buscando um plano de saúde para você ou sua empresa? Então faça já sua cotação com a Clinipam e tenha o melhor para sua vida e daqueles que ama! Confira!,,0,4,18,2,4,3,H1 ausente,0,0,[],False,False,True,[],"['Individual/Familiar', 'Planos para Super Simples (02 a 29 vidas)', 'Planos para PME (30 a 99 vidas)', 'Tem dúvidas da melhor opção para sua empresa?']",True,False,REQUESTS,pipeline_lean_v1.0,2025-06-13 21:27:31
https://gndisul.com.br/planos-de-saude/nosso-plano,1,200.0,text/html; charset=utf-8,200.0,text/html; charset=utf-8,Conheça as vantagens dos nossos planos | Hapvida Clinipam,Saiba mais sobre as vantagens de um plano e compare os planos de saúde NotreDame Intermédica que melhor se adaptam para o seu bem-estar e de toda sua família.,,1,0,15,2,4,3,H2 ausente,0,0,[],False,False,True,['Nosso Plano'],[],False,True,REQUESTS,pipeline_lean_v1.0,2025-06-13 21:27:31
https://gndisul.com.br/interodonto,1,200.0,text/html; charset=utf-8,200.0,text/html; charset=utf-8,Interodonto: Conheça nossos planos! | Hapvida Clinipam,Saiba mais sobre os planos Interodonto. Estamos sempre prontos para cuidar da sua saúde com cuidado. Saiba mais sobre nossos serviços odontológicos e contrate.,,1,1,17,2,4,3,OK,0,0,[],False,False,True,['Planos Odontológicos'],['O seu sorriso sempre saudável.'],False,False,REQUESTS,pipeline_lean_v1.0,2025-06-13 21:27:31
https://gndisul.com.br/guia-medico,1,200.0,text/html; charset=utf-8,200.0,text/html; charset=utf-8,Guia Médico | Hapvida Clinipam,Confira todos os benefícios de possuir um plano de saúde CLINIPAM.,,1,0,15,2,4,3,H2 ausente,0,0,[],False,False,True,['Guia Médico'],[],False,True,REQUESTS,pipeline_lean_v1.0,2025-06-13 21:27:31
https://gndisul.com.br/centros-clinicos,1,200.0,text/html; charset=utf-8,200.0,text/html; charset=utf-8,Centros Clínicos Clinipam: Saiba Mais | Hapvida Clinipam,"Saiba mais sobre o Centros Clínicos Clinipam! Confira endereço, telefone para contato, especialidades da unidade, e mais sobre a GNDI SUL em um unico clique!",,1,0,15,2,4,3,H2 ausente,0,0,[],False,False,True,['Centros Clínicos'],[],False,True,REQUESTS,pipeline_lean_v1.0,2025-06-13 21:27:31
