url,nivel,status_code,tipo_conteudo,status_code_http,tipo_conteudo_http,title,description,canonical,crawler_method,crawler_version,analise_timestamp
https://ccgsaude.com.br/,0,200,text/html; charset=UTF-8,200.0,text/html; charset=UTF-8,Planos de Saúde e Odontológicos no Rio Grande do Sul | Hapvida,"O Centro Clínico Gaúcho agora é CCG Saúde, + completo para cuidar da sua saúde de forma preventiva. Conheça os planos e serviços para você ou para empresas",,REQUESTS,pipeline_lean_v1.0,2025-06-15 13:01:31
https://ccgsaude.com.br,1,200,text/html; charset=UTF-8,200.0,text/html; charset=UTF-8,Planos de Saúde e Odontológicos no Rio Grande do Sul | Hapvida,"O Centro Clínico Gaúcho agora é CCG Saúde, + completo para cuidar da sua saúde de forma preventiva. Conheça os planos e serviços para você ou para empresas",,REQUESTS,pipeline_lean_v1.0,2025-06-15 13:01:31
https://ccgsaude.com.br/planos/para-voce,1,200,text/html; charset=UTF-8,200.0,text/html; charset=UTF-8,Planos de Saúde Especializados para sua Família | Hapvida,"Descubra Planos de Saúde, preparados para todas as fases da sua vida. Cobertura estadual (RS) ou nacional, contrate agora e proteja quem você ama.",,REQUESTS,pipeline_lean_v1.0,2025-06-15 13:01:31
https://ccgsaude.com.br/planos/odontologicos,1,200,text/html; charset=UTF-8,200.0,text/html; charset=UTF-8,Planos Odontológicos: Conheça e Saiba Mais | Hapvida,Nossos planos odontológicos foram projetados pensando em você. Descubra como nossos planos podem atender às suas necessidades individuais de saúde bucal.,,REQUESTS,pipeline_lean_v1.0,2025-06-15 13:01:31
https://ccgsaude.com.br/rede-credenciada,1,200,text/html; charset=UTF-8,200.0,text/html; charset=UTF-8,Rede Credenciada: Busque Médicos e Laboratórios  | Hapvida,"Com uma ampla rede credenciada de profissionais, laboratórios e clínicas,  em diversas cidades do RS, estamos prontos para fornecer o melhor atendimento.",,REQUESTS,pipeline_lean_v1.0,2025-06-15 13:01:31
https://ccgsaude.com.br/clinicas-ccg,1,200,text/html; charset=UTF-8,200.0,text/html; charset=UTF-8,Nossas Clínicas - Garantindo Cuidado e Atenção | Hapvida,"Explore um novo compromisso com seu bem-estar na CCG Saúde, clínicas prontas para fornecer serviços médicos especializados e variados com excelência e conforto!",,REQUESTS,pipeline_lean_v1.0,2025-06-15 13:01:31
https://ccgsaude.com.br/clinica-mais,1,200,text/html; charset=UTF-8,200.0,text/html; charset=UTF-8,CCG Clínica Mais: Espaço Exclusivo para Você | Hapvida,"No coração de Porto Alegre apresentamos um atendimento especial para quem sempre conta com a gente, com equipes especializadas e satisfação garantida.",,REQUESTS,pipeline_lean_v1.0,2025-06-15 13:01:31
https://ccgsaude.com.br/hospital-humaniza,1,200,text/html; charset=UTF-8,200.0,text/html; charset=UTF-8,Hospital Humaniza - Seu Mais Novo Espaço | Hapvida,"Conheça o novo espaço do CCG Saúde em Porto Alegre. 
            O Hospital Humaniza se apresenta com diversos 
            serviços, fornecendo o melhor atendimento para você.",,REQUESTS,pipeline_lean_v1.0,2025-06-15 13:01:31
https://ccgsaude.com.br/servicos,1,200,text/html; charset=UTF-8,200.0,text/html; charset=UTF-8,Prestação de serviços à saúde  | Hapvida,"A prestação de serviços à saúde do CCG é ampla e completa, com programas de prevenção, atendimento online e ferramentas inteligentes para todos os clientes",,REQUESTS,pipeline_lean_v1.0,2025-06-15 13:01:31
https://ccgsaude.com.br/servicos/check-up-da-mulher,1,200,text/html; charset=UTF-8,200.0,text/html; charset=UTF-8,Conheça o Check Up da Mulher aqui no CCG | Hapvida,"Aqui oferecemos um check-up completo para mulheres, cobrindo um amplo aspecto de saúde. Saiba mais sobre este serviço do CCG Saúde e como ele pode te ajudar!",,REQUESTS,pipeline_lean_v1.0,2025-06-15 13:01:31
https://ccgsaude.com.br/telemedicina,1,200,text/html; charset=UTF-8,200.0,text/html; charset=UTF-8,Teleconsulta: atendimento online para clientes  | Hapvida,A teleconsulta é uma maneira conveniente e eficaz de receber atendimento médico sem sair de casa. Saiba mais sobre como você pode se beneficiar no CCG Saúde,,REQUESTS,pipeline_lean_v1.0,2025-06-15 13:01:31
https://ccgsaude.com.br/servicos/teste-covid,1,200,text/html; charset=UTF-8,200.0,text/html; charset=UTF-8,Covid-19: Confira a disponibilidade de testes | Hapvida,Estamos comprometidos em combater a Covid-19. Veja mais em comos disponibilizamos testes para garantir sua segurança e bem-estar. Saiba mais no site CCG Saúde!,,REQUESTS,pipeline_lean_v1.0,2025-06-15 13:01:31
https://ccgsaude.com.br/medicina-preventiva/apoio-paciente,1,200,text/html; charset=UTF-8,200.0,text/html; charset=UTF-8,Conheça o Apoio ao Paciente - (PAP) | Hapvida,Nosso Programa de Apoio ao Paciente (PAP) oferece suporte completo durante seu tratamento. Saiba mais sobre como esse programa da CCG Saúde pode te auxiliar!,,REQUESTS,pipeline_lean_v1.0,2025-06-15 13:01:31
https://ccgsaude.com.br/medicina-preventiva/assistencia-idoso,1,200,text/html; charset=UTF-8,200.0,text/html; charset=UTF-8,Conheça o Programa de Assistência ao Idoso (PAI) | Hapvida,Nosso Programa de Assistência ao Idoso (PAI) foi desenvolvido para o bem-estar dos idosos. Saiba mais sobre como este programa oferece suporte especializado!,,REQUESTS,pipeline_lean_v1.0,2025-06-15 13:01:31
